Found 612 unique locations with Flexitricity load curtailment/drop components
Format: Tab-separated values (copy and paste into Excel)

====================================================================================================
Location	Status	Delivery Year	Auction	Description	CMU ID	Google Maps URL
35 - 43 High Street, Wealdstone,  HA3 5AG	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=35%20-%2043%20High%20Street%2C%20Wealdstone%2C%20%20HA3%205AG&t=k
377 Ormesby Rd , Middlesborough, TS3 0DY	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=377%20Ormesby%20Rd%20%2C%20Middlesborough%2C%20TS3%200DY&t=k
387 Maidstone Road , Chatham, ME5 9SE	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=387%20Maidstone%20Road%20%2C%20Chatham%2C%20ME5%209SE&t=k
4 Norman Rd, Belvedere DA17 6LD	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24080	https://www.google.com/maps?q=4%20Norman%20Rd%2C%20Belvedere%20DA17%206LD&t=k
405 Queens Rd , Sheffield, S2 4DR	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=405%20Queens%20Rd%20%2C%20Sheffield%2C%20S2%204DR&t=k
43-53 The Link Way - Middlebrook - Horwich  BL6 6JA	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=43-53%20The%20Link%20Way%20-%20Middlebrook%20-%20Horwich%20%20BL6%206JA&t=k
469-491 Northolt Rd South Harrow, Middlesex, HA2 8JN	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=469-491%20Northolt%20Rd%20South%20Harrow%2C%20Middlesex%2C%20HA2%208JN&t=k
47-57 High Street West End, Southampton, SO30 3DQ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=47-57%20High%20Street%20West%20End%2C%20Southampton%2C%20SO30%203DQ&t=k
49 High Street Ponders End, Enfield, EN3 4EF	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=49%20High%20Street%20Ponders%20End%2C%20Enfield%2C%20EN3%204EF&t=k
490 High Road, London, N17 9JF	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=490%20High%20Road%2C%20London%2C%20N17%209JF&t=k
5-9 Deptford High Street  SE8 4AD	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=5-9%20Deptford%20High%20Street%20%20SE8%204AD&t=k
5 Bath Lane , Stockton On Tees, TS18 2DS	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=5%20Bath%20Lane%20%2C%20Stockton%20On%20Tees%2C%20TS18%202DS&t=k
5 High Street Goldthorpe, Rotherham, S63 9NQ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=5%20High%20Street%20Goldthorpe%2C%20Rotherham%2C%20S63%209NQ&t=k
50 Harborough Road Kingsthorpe NN2 7AZ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=50%20Harborough%20Road%20Kingsthorpe%20NN2%207AZ&t=k
500 Helen Street Govan G51 3HR	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=500%20Helen%20Street%20Govan%20G51%203HR&t=k
510 Liverpool Rd Eccles, Manchester, M30 7JA	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=510%20Liverpool%20Rd%20Eccles%2C%20Manchester%2C%20M30%207JA&t=k
555 Prospect Hill Road Toryglen G42 0AE	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=555%20Prospect%20Hill%20Road%20Toryglen%20G42%200AE&t=k
6 Firswood Rd, Lathom, Skelmersdale WN8 8UT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24080	https://www.google.com/maps?q=6%20Firswood%20Rd%2C%20Lathom%2C%20Skelmersdale%20WN8%208UT&t=k
6 Old Horns Crescent Off Queslett Road B43 7HA	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=6%20Old%20Horns%20Crescent%20Off%20Queslett%20Road%20B43%207HA&t=k
604/612 Bolton Rd Pendleburry, Swinton, M27 4ET	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=604/612%20Bolton%20Rd%20Pendleburry%2C%20Swinton%2C%20M27%204ET&t=k
67 Honey End Lane Tilehurst, Reading, RG30 4EX	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=67%20Honey%20End%20Lane%20Tilehurst%2C%20Reading%2C%20RG30%204EX&t=k
7-9 Derwent Avenue  DD3 0SZ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=7-9%20Derwent%20Avenue%20%20DD3%200SZ&t=k
7 Bancroft Lane , Mansfield, NG18 5LG	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=7%20Bancroft%20Lane%20%2C%20Mansfield%2C%20NG18%205LG&t=k
701 Stockport Road , Manchester, M12 4QN	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=701%20Stockport%20Road%20%2C%20Manchester%2C%20M12%204QN&t=k
77 Layerthorpe , York, YO31 7UZ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=77%20Layerthorpe%20%2C%20York%2C%20YO31%207UZ&t=k
8 Derring Road Pontprennau, Cardiff, CF23 8NL	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=8%20Derring%20Road%20Pontprennau%2C%20Cardiff%2C%20CF23%208NL&t=k
